Metric,Card Name,"Feb 10 2025, 12:00AM - Feb 5 2026, 11:42AM"
Total Events of Sent,1589_Pattern Lydia Burton Cake Slice,73
Total Events of Sent,1592_Happy Birthday Lydia Burton,568
Total Events of Sent,1608_Happy Birthday Mimi Moffie,85
Total Events of Sent,1621_Older Bud Wiser Rumble Cards Happy Birthday,1400
Total Events of Sent,1629_Party Animals Rumble Cards x Ashley Le Quere,173
Total Events of Sent,1630_Born in the 90's Rumble Cards x Ashley Le Quere,113
Total Events of Sent,1631_Born in the 80's Rumble Cards x Ashley Le Quere,49
Total Events of Sent,1632_Born in the 70's Rumble Cards x Ashley Le Quere,21
Total Events of Sent,1633_Born in the 60's Rumble Cards x Ashley Le Quere,23
Total Events of Sent,1634_Lost Count Rumble Cards x Ashley Le Quere,167
Total Events of Sent,1643_Happy Bday Priyanka Darlin,793
Total Events of Sent,1651_Happy Bday Sorry Its Late Lazy Disco,48
Total Events of Sent,1655_Let's Party lazy Disco,348
Total Events of Sent,1667_Happy Birthday Dicky Bird Spray Paint,1085
Total Events of Sent,1668_Happy Birthday Dicky Bird Gaming,979
Total Events of Sent,1672_Party Animal Adelfi,174
Total Events of Sent,1685_Birthday Beers Matt Joyce,816
Total Events of Sent,1689_To Another Year of Adventures Matt Joyce,317
Total Events of Sent,1691_Alter Kaker Everyday Yiddish,5
Total Events of Sent,1698_Aviva Atri Birthday Cake,2232
Total Events of Sent,1702_Aviva Atri Balloons and Confetti,508
Total Events of Sent,1706_Feliz Quince Grow Mija,28
Total Events of Sent,1707_Happy Quinceanera Grow Mija,40
Total Events of Sent,170_Here's a Cake Ashley Le Quere,254
Total Events of Sent,171_It's Your Day Ashley Le Quere,215
Total Events of Sent,1724_Have a little Treat Jillian Goeller,397
Total Events of Sent,1728_You Deserve A Treat Jillian Goeler,1571
Total Events of Sent,1747_Happy Ducking Birthday Brittany Paige,748
Total Events of Sent,1748_Happy 29th Birthday Again Brittany Paige,303
Total Events of Sent,174_Let's Get Eggcited,11
Total Events of Sent,1808_Happy Birthday Paper&Stuff Gradient,1684
Total Events of Sent,1809_Have the Best Birthday Ever Paper&Stuff,5260
Total Events of Sent,1822_Let The Good Times Roll Amy Zhang,36
Total Events of Sent,1842_Have A Pawesome Birthday Jacqueline Colley,88
Total Events of Sent,1843_Have A Purrrrfect Day Jacqueline Colley,62
Total Events of Sent,1845_You Are The Best Vintage Jacqueline Colley,450
Total Events of Sent,1847_Happy Birthday To You Jacqueline Colley,234
Total Events of Sent,1849_Happy Birthday Jacqueline Colley Cake Slice,701
Total Events of Sent,1857_Happy Belated Birthday Melanie Johnsson,917
Total Events of Sent,1861_Sorry Im Late To Say Happy Birthday Melanie johnsson,65
Total Events of Sent,1871_Hope Your Birthday is A Blast Karen Schipper,217
Total Events of Sent,1872_Make A Wish Karen Schipper,3213
Total Events of Sent,1875_Happy Birthday Cake Karen Schipper,754
Total Events of Sent,1894_Happy Birthday Dicky Bird Burger,230
Total Events of Sent,1895_Happy Birthday Dicky Bird Cake,232
Total Events of Sent,1896_Happy Bearthday Dicky Bird,306
Total Events of Sent,1905_Wishing You A Stellar Birthday Folio,20
Total Events of Sent,1908_Lets Grab A Beer Folio,91
Total Events of Sent,1909_Let's Eat Cake Folio,167
Total Events of Sent,1910_Have A Blast Folio,24
Total Events of Sent,192_Hey You HBD Poketo,1904
Total Events of Sent,1936_May Baby Kerrie McNeill,59
Total Events of Sent,1937_November Baby Kerrie McNeill,17
Total Events of Sent,1938_October Baby Kerrie McNeill,22
Total Events of Sent,1942_September Baby Kerrie McNeill,18
