Metric,Card Name,"Jan 12 2025, 12:00AM - Jan 7 2026, 8:39AM","Jan 19 2025, 12:00AM - Jan 14 2026, 8:39AM"
Total Events of Sent,1975_Thank You For Being The Worlds Greatest Employee Aviva Atri,511,512
Total Events of Sent,2264_I love you more than I love TikTok Kat Rodman,509,509
Total Events of Sent,2277_Thank You for Everything You Do Sydney Sebastian Border Green,498,503
Total Events of Sent,1053_Pattern Zoe Wodarz Tulip,497,494
Total Events of Sent,705_Celebrate Jasmina zornic,495,479
Total Events of Sent,1592_Happy Birthday Lydia Burton,494,539
Total Events of Sent,145_Its your birthday Taylor Stimbert,492,499
Total Events of Sent,373_Have the sweetest birthhday Isabella Humphrey,487,491
Total Events of Sent,2053_Happy Mothers Day Matt Joyce,483,483
Total Events of Sent,987_You're My Bestie Be My Galentine Happy Go Lucky,476,475
Total Events of Sent,773_Happy birthday To You Amy Zhang,470,459
Total Events of Sent,124_You Are Amazing and I Love You Hue Complete Me,464,465
Total Events of Sent,1999_HBD Spaghetti & Meatballs,460,436
Total Events of Sent,1766_Happy Holidays Paper&Stuff,459,458
Total Events of Sent,369_Happy Birthday Isabella Humphrey Dogs,459,446
Total Events of Sent,469_Aquarius Faye Guanipa,459,460
Total Events of Sent,1736_Gobble til You Wobble Emily Doliner,458,458
Total Events of Sent,776_Be Merry Leena Kisonen,453,453
Total Events of Sent,1439_For You Melanie Johnsson Flowers,449,443
Total Events of Sent,512_Let's Paw-ty Oscar Tapeswing,448,451
Total Events of Sent,514_Birthday Dude Oscar tapeswing,448,494
Total Events of Sent,1182_Thank You So Much AnalogbyNat,447,437
Total Events of Sent,1987_Mom Lauren Marina,435,434
Total Events of Sent,79_Happy Anniversary Hue Complete Me,430,425
Total Events of Sent,1470_Happy Valentines Day Alirae Aguirre,429,430
Total Events of Sent,1845_You Are The Best Vintage Jacqueline Colley,429,431
Total Events of Sent,1381_Happy Birthday Fancy Pants Faye Guanipa,427,425
Total Events of Sent,471_Taurus Faye Guanipa,425,425
Total Events of Sent,572_Happy 4th Ashley Le Quere,424,424
Total Events of Sent,1198_Cheers To The Golden Years Amy Zhang,415,420
Total Events of Sent,1431_You're The Sweetest Valentine Faye Guanipa Lollipop,412,412
Total Events of Sent,863_Sending you lots of love spaghetti & meatballs,412,409
Total Events of Sent,2007_Happy Birthday Katie Benn Cars,410,428
Total Events of Sent,1538_Happy Easter AliRae Aguirre,409,409
Total Events of Sent,1724_Have a little Treat Jillian Goeller,409,399
Total Events of Sent,93_Biggie Birthday Spaghetti & Meatballs,409,417
Total Events of Sent,801_Feliz Cumpleaños Grow Mija,405,408
Total Events of Sent,1986_I'm So Grateful For You Lauren Marina,404,396
Total Events of Sent,2000_Hello Spaghetti & Meatballs Smile,400,387
Total Events of Sent,328_Happy Birthday brook gossen  Red and Yellow Abstract,398,380
Total Events of Sent,1298_Merry Christmas From Our Fam To Yours Hood Greetings,394,394
Total Events of Sent,2009_Thank You For Everything Dad Paper & Stuff,392,391
Total Events of Sent,1779_Happy Holidays AliRae Aguirre,390,390
Total Events of Sent,723_I'm Happy You Exist Analogbynat,383,373
Total Events of Sent,2224_Have a Fun Filled Birthday Ashley Le Quere,382,391
Total Events of Sent,1029_Better Late Than Never Amy Zhang,370,409
Total Events of Sent,1655_Let's Party lazy Disco,370,371
Total Events of Sent,2016_Birthday Cake lines Paper&Stuff,368,363
Total Events of Sent,812_This Calls For Confetti Shannon Snow,367,371
Total Events of Sent,1803_Happy Birthday Confetti Cleveland Cavaliers,366,362
Total Events of Sent,1245_I Yam So Very Thankful For You Amy Zhang Yams,363,363
Total Events of Sent,1353_Happy Birthday Karen Schipper Trolley,355,349
Total Events of Sent,1148_Fourth of July Kevin Adams,351,351
Total Events of Sent,1763_To From Paper&Stuff,350,350
Total Events of Sent,379_Let them eat cake Julia Walck,349,367
Total Events of Sent,"573_Dad, You're Flipping Amazing Ashley Le Quere",346,344
Total Events of Sent,1159_Congrats Priyanka Darlin' Spotted,344,344
Total Events of Sent,1748_Happy 29th Birthday Again Brittany Paige,342,330
Total Events of Sent,1784_Dicky Bird Ornament,342,342
Total Events of Sent,2333_Green Cupcake Melanie Johnsson,342,353
Total Events of Sent,1904_Thank You Folio,335,330
Total Events of Sent,203_Thank You So Very Much Ilana Griffo,335,337
Total Events of Sent,2010_Thank You For Everything Mom Paper&Stuff,332,332
Total Events of Sent,1884_Hand with Hearts Ashley Le Quere,331,311
Total Events of Sent,1158_Happy Birthday Oscar De La Cruz Blocks,330,323
Total Events of Sent,1534_Feel Better Soon paper&stuff,328,319
Total Events of Sent,541_Wine Party Brittany Paige,327,327
Total Events of Sent,460_Thinking of You sarah foelske,326,323
Total Events of Sent,106_Happy birthday Best Tea jaclyn Caris,323,325
Total Events of Sent,1166_HBD Mat Voyce Animation,322,317
Total Events of Sent,1075_Happy Birthday To A Real Playa Spaghetti & Meatballs Record Player,321,319
Total Events of Sent,1016_Welcome Baby Forage Paper Co.,316,319
Total Events of Sent,1896_Happy Bearthday Dicky Bird,315,313
Total Events of Sent,2223_I See Cake In Your Future Ashley Le Quere,314,309
Total Events of Sent,1768_Holding You In My Heart Adelfi,311,309
Total Events of Sent,1983_I See A Strong and Powerful Woman Jaclyn Caris,307,306
Total Events of Sent,1689_To Another Year of Adventures Matt Joyce,300,309
Total Events of Sent,518_Happy Easter!,300,300
Total Events of Sent,1230_With Deepest Sympathy Karen Schipper,299,289
Total Events of Sent,1451_Will You Be My Valentine Yes No Oscar De La Cruz,299,291
Total Events of Sent,1549_Birthday Wishes Jacqueline Colley,293,280
Total Events of Sent,1569_Dear Grandma Spaghetti & Meatballs,289,286
Total Events of Sent,1646_Paper&Stuff Squiggles,289,264
Total Events of Sent,1106_Hats Off To You Mélanie Johnsson Graduation Caps,288,288
Total Events of Sent,1002_Team Work Dream Work Melanie Johnsson,285,291
Total Events of Sent,1545_Thank You Antonay Studio,282,282
Total Events of Sent,1757_Happy Thanksgiving Melanie johnsson,279,279
Total Events of Sent,1213_Thanks A Bunch Melissa Blair Bananas,277,268
Total Events of Sent,728_Take A Break analogbynat,277,277
Total Events of Sent,1717_Happy Thanksgiving Karen Schipper,272,272
Total Events of Sent,964_Special Delivery Spaghetti & Meatballs,271,271
Total Events of Sent,1533_Sending Happy THoughts paper&stuff,266,268
Total Events of Sent,"1080_Hey Mom, I'm Annoying But I Love You Giulia Hartz Cake",258,259
Total Events of Sent,1847_Happy Birthday To You Jacqueline Colley,250,254
