Metric,Card Name,"Feb 10 2025, 12:00AM - Feb 5 2026, 11:43AM"
Total Events of Sent,1816_Thank You For Dealing With My Unrealistic Valentine's Day Expectations paper&stuff,40
Total Events of Sent,1818_You're Negroni One for Me Amy Zhang,8
Total Events of Sent,1819_I Love long Romantic Scrolls with You Amy Zhang,28
Total Events of Sent,1820_Loving You is Squeezy Amy Zhnag,34
Total Events of Sent,1821_Candy Hearts Amy Zhang,89
Total Events of Sent,1824_Let's French Amy Zhang,23
Total Events of Sent,1825_To Mani More Years Of Friendship Amy Zhang,114
Total Events of Sent,1827_So Fortunate To Have You Amy Zhang,63
Total Events of Sent,1828_Friend-Chip Goals Amy Zhang,23
Total Events of Sent,1829_Support Your Global Girl Gang Amy Zhang,1
Total Events of Sent,1831_I Know It's A World Of Muggles Giulia Hartz,9
Total Events of Sent,1832_Fall In Love With Yourself First Giulia Hartz,8
Total Events of Sent,1833_Hold My Hand And Lets Send Each Other Memes Giulia Hartz,27
Total Events of Sent,1835_Me You lanyard Giulia Hartz,103
Total Events of Sent,1836_Choo Choo At Therapy I Talk About You Giulia hartz,54
Total Events of Sent,1837_Cupid Naomi Anderson Subryan,7
Total Events of Sent,1840_You Are Hot Stuff Jacqueline Colley,19
Total Events of Sent,1841_I Canned Get Enough Of You Jacqueline Colley,1
Total Events of Sent,1844_Broken Hearts Jacqueline Colley,2
Total Events of Sent,1845_You Are The Best Vintage Jacqueline Colley,450
Total Events of Sent,1846_You Are A Catch Jacqueline Colley,10
Total Events of Sent,1848_Love You To The Moon Jacqueline Colley,242
Total Events of Sent,1854_Happy Valentines Melanie Johnsson,620
Total Events of Sent,1855_Forever Together Melanie Johnsson,152
Total Events of Sent,1856_I Love You Soo Muuch Melanie johnsson,767
Total Events of Sent,1862_You Are So Loved Lauren Marina,223
Total Events of Sent,1863_To The Moon Lauren Marina,137
Total Events of Sent,1864_To My Love Lauren Marina,43
Total Events of Sent,1865_Happy Valentines Day Forage Paper Co,909
Total Events of Sent,1866_You Are My Favorite Adventure Forage Paper Co,13
Total Events of Sent,1867_Love Forage Paper Co,170
Total Events of Sent,1870_Everything Is Better With You Karen Schipper,13
Total Events of Sent,1873_You Have The Key To My Heart Karen Schipper,1
Total Events of Sent,1874_Happy Valentine's Day Karen Schipper,171
Total Events of Sent,1876_Happy Valentines Day Lets Stay In Bed Karen Schipper,5
Total Events of Sent,1877_Every Day is Velentines With You Karen Schipper,10
Total Events of Sent,1878_I Dont Know Where Id Be Without You Karen Schipper,15
Total Events of Sent,1879_Im A Softee For You Karen Schipper,6
Total Events of Sent,1884_Hand with Hearts Ashley Le Quere,307
Total Events of Sent,1887_Youre Puufect,14
Total Events of Sent,1888_You're Sweet Dicky Brd,54
Total Events of Sent,1892_Love You Dicky Bird,27
Total Events of Sent,1898_XOXO Spaghetti & Meatballs,465
Total Events of Sent,1899_Happy Valentine's Day Mom Spaghetti & Meatballs,132
Total Events of Sent,1900_Happy Love Day Spaghetti & Meatballs,80
Total Events of Sent,1901_In My Lover Era Spaghetti & Meatballs,71
Total Events of Sent,1902_Big Dip Energy Spaghetti & Meatballs,48
Total Events of Sent,1903_With Love Folio,521
Total Events of Sent,190_eye heart you Poketo,14
Total Events of Sent,1911_Happy Valentine's Bei Workshop,137
Total Events of Sent,1913_Doing Nothing With You Rosie Pink,2
Total Events of Sent,1915_Me & U,96
Total Events of Sent,1916_Friendship Flowers Rosie Pink,792
Total Events of Sent,1939_Will You Be Mine Postcard,13
Total Events of Sent,1941_You Have My Heart Postcard,7
Total Events of Sent,1943_Happy Valetine's Day Postcard,63
Total Events of Sent,1947_I Love You Song Postcard,11
Total Events of Sent,1950_K + S Forever Mine Postcard,2
Total Events of Sent,1955_All Of My Love Julia Walck,36
Total Events of Sent,1957_I Love You Cakes Julia Walck,18
Total Events of Sent,1958_Happy Galentine's Day Nysha Lilly,170
Total Events of Sent,1963_Flowers in Vase Nysha Lilly,72
Total Events of Sent,1964_Romantic Little Dinner For Two Nysha Lilly,11
Total Events of Sent,1965_Postman Nysha Lilly,13
Total Events of Sent,1967_Love Love Love Nysha Lilly,182
Total Events of Sent,1982_To The Woman Who Inspires And Amazes Me the Most Jaclyn Caris,777
Total Events of Sent,1983_I See A Strong and Powerful Woman Jaclyn Caris,300
Total Events of Sent,1984_The Girls Are Girling Jaclyn Caris,5
Total Events of Sent,1985_Cheers To You Babe Jaclyn Caris,188
Total Events of Sent,2005_I Love Your Weird Brain Katie Benn,68
Total Events of Sent,2018_Love Jasmina Zornic,70
Total Events of Sent,2024_No One Like You Priyanka Darlin,27
Total Events of Sent,2105_Thanks For Always Killing The Bugs Brittany Paige,6
Total Events of Sent,211_My Main brook gossen,47
Total Events of Sent,2143_I Love you More Than All The Eras Tour Bracelets Brittany Paige,44
Total Events of Sent,2149_I Love You So Much Grow Mija,25
Total Events of Sent,214_Love Yourself Isabella Humphrey,4
Total Events of Sent,2264_I love you more than I love TikTok Kat Rodman,491
Total Events of Sent,2272_You Deserve Some You Time Triangulos by Melanie johnsson,75
Total Events of Sent,2273_Merlot Before Bros Amy Zhang,72
Total Events of Sent,2298_Best Boyfriend Award Aviva Atri,11
Total Events of Sent,2299_Best Girlfriend Ever Aviva Atri,3
Total Events of Sent,2317_You Give Me Butterflies Adelfi,2
Total Events of Sent,2426_I Love You In All Your Forms - Green Paper Co.,5
Total Events of Sent,2433_Ya Lyublyu Tebya I Love You In Russian - Green Paper Co.,2
Total Events of Sent,2439_I Love You So Much - In Good Company,86
Total Events of Sent,2449_Puppy Love - Spaghetti & Meatballs,1
Total Events of Sent,2451_I Love You Boo Boo,6
Total Events of Sent,2452_Happy Valentine's to my Favorite - In Good Company,4
Total Events of Sent,2453_Be My Valentine - In Good Company,24
Total Events of Sent,2455_Forever Yours Cherub,3
Total Events of Sent,2456_Forever Yours Lock - In Good Company,2
Total Events of Sent,2457_You Have My Heart - In Good Company,1
Total Events of Sent,263_Love Potion Pantone,3
Total Events of Sent,264_Merlot Pantone,27
Total Events of Sent,269_Rose Bouquet Pantone,13
Total Events of Sent,309_You're so twisted Spaghetti & Meatballs,6
Total Events of Sent,331_Love is In The Air Melanie Johnsson,41
Total Events of Sent,33_kisses mj,48
Total Events of Sent,353_I think You're Cute Grow Mija,6
Total Events of Sent,359_Hugs Hugs Hugs Zoe Wodarz,225
Total Events of Sent,375_Put on your party slippers Isabella Humphrey,8
Total Events of Sent,380_A virtual bouquet Julia Walck,125
Total Events of Sent,382_complex carbohydrates Spaghetti & Meatballs,4
Total Events of Sent,406_I love you khali amanda balloon,12
Total Events of Sent,416_You light up my life Ashley Le Quere,12
Total Events of Sent,418_Sendng you love from a distance ashley le quere,17
Total Events of Sent,423_Kisses for you Ashley Le Quere,3
Total Events of Sent,459_Pizza My Heart Green Paper Co,19
Total Events of Sent,461_XOXO sarah foelske,7
Total Events of Sent,481_You're my Favorite Faye Guanipa,20
Total Events of Sent,483_I'd Go Anywhere With You Green Paper Co,5
Total Events of Sent,487_you are my favorite human Green Paper Co,95
Total Events of Sent,513_You're My World oscar Tapeswing,13
Total Events of Sent,529_Kiss Kiss Zoe Wodarz,3
Total Events of Sent,567_Love You Ashley Le Quere Retro,34
Total Events of Sent,576_Doing Hot Girl Shhh Spaghetti & Meatballs,20
Total Events of Sent,579_Love Yourself Jasmina Zornic,21
Total Events of Sent,581_Friends Jasmina Zornic,116
Total Events of Sent,584_Love Is In The Air Jasmina Zornic,8
Total Events of Sent,610_Trans i Love You Ash & Chess,39
Total Events of Sent,612_Love Yourself First Ash & Chess,1
Total Events of Sent,616_Came Out Ash & Chess,22
Total Events of Sent,629_You Are Purrfect Oscar Tapeswing,56
Total Events of Sent,62_match made in heaven Melanie Johnsson,57
Total Events of Sent,635_Big Love And Hugs Andrew Hudson,71
Total Events of Sent,641_Best Buds Oscar Tapeswing,71
Total Events of Sent,651_Together Emmy Lupin,34
Total Events of Sent,662_You're Beautiful Moses Kruschat,2
Total Events of Sent,668_Love Fion Koh,86
Total Events of Sent,687_Music Sounds Better With You Olga Ambrosova,3
Total Events of Sent,702_Kiss Me Jasmina Zornic,5
Total Events of Sent,703_Forever Jasmina Zornic,2
Total Events of Sent,710_SIS Jasmina Zornic,208
Total Events of Sent,718_Better Together Analogbynat,1
Total Events of Sent,723_I'm Happy You Exist Analogbynat,336
Total Events of Sent,73_PS I Love You Green Paper Co,26
Total Events of Sent,760_You're My Perfect Match Jessica Miller,97
Total Events of Sent,764_Love Catie St Jacques,25
Total Events of Sent,779_I'm Nuts About You Leena Kisonen,19
Total Events of Sent,800_Con Mucho Mucho Amor Grow Mija,51
Total Events of Sent,803_Wanna Spoon Grow Mija,8
Total Events of Sent,804_All You Need Is Dessert Shannon Snow,10
Total Events of Sent,815_You Make My World Go Round Shannon Snow,9
Total Events of Sent,831_I Melt For You Poketo,73
Total Events of Sent,836_I Like You Eduziggy,7
Total Events of Sent,857_If I could have anyone in the world it would still be you The Unsent Project,12
Total Events of Sent,864_I'd give you the moon The Unsent Project,3
Total Events of Sent,866_You are deeply loved The Unsent Project,4
Total Events of Sent,875_You're Still My Favorite Melanie Johnsson,31
Total Events of Sent,886_Grateful For Your Love And Support iscreamcolour,49
Total Events of Sent,887_I'm Happy You Exist iscreamcolour,18
Total Events of Sent,888_Love Has No Gender iscreamcolour,1
Total Events of Sent,908_I Love You Moses Kruschat,3
Total Events of Sent,924_I Love You Dicky Bird Languages,36
Total Events of Sent,928_Forever and Ever Ash & Chess,27
Total Events of Sent,954_Just A Love Note Spaghetti & Meatballs,100
Total Events of Sent,955_I Love You Berry Much Spaghetti & Meatballs,129
Total Events of Sent,956_Certified Lover Boy Spaghetti & Meatballs,17
Total Events of Sent,957_You're Just My Type Spaghetti & Meatballs,11
Total Events of Sent,"958_Ewwww, Love Spaghetti & Meatballs",8
Total Events of Sent,959_You're My Cold Boo Spaghetti & Meatballs,64
Total Events of Sent,960_Love Sucks,16
Total Events of Sent,961_Bae Mine Spaghetti & Meatballs,7
Total Events of Sent,962_A Dozen Red Flags Spaghetti & Meatballs,37
Total Events of Sent,963_Heart Cherries Spaghetti & Meatballs,64
Total Events of Sent,964_Special Delivery Spaghetti & Meatballs,263
Total Events of Sent,965_Ducking Love You Brittany Paige,32
Total Events of Sent,966_Good Guy Are Like Unicorns Brittany Paige,2
Total Events of Sent,970_Love Letter Jacqueline Colley,9
Total Events of Sent,972_Love Token Jacqueline Colley,2
Total Events of Sent,974_Signed Sealed Delivered I'm Yours 4ever Jacqueline Colley stamp,11
Total Events of Sent,980_I'm Glad That You're Mine Yolanda Poh,23
Total Events of Sent,983_You're A Catch Happy Go Lucky,17
Total Events of Sent,987_You're My Bestie Be My Galentine Happy Go Lucky,475
Total Events of Sent,990_Love You More Than Pasta Happy Go Lucky,1
Total Events of Sent,999_Forever Love Zoe Wodarz,8
